Matrix Size, Work Elements, GigaMults/Second
1024 ,      1 ,       0.29
1024 ,      4 ,       0.41
1024 ,     16 ,       0.57
1024 ,     64 ,       0.49
1024 ,    256 ,       0.42
4096 ,      1 ,       1.24
4096 ,      4 ,       2.41
4096 ,     16 ,       2.83
4096 ,     64 ,       3.20
4096 ,    256 ,       2.47
16384 ,      1 ,       1.91
16384 ,      4 ,       5.72
16384 ,     16 ,      10.22
16384 ,     64 ,      14.11
16384 ,    256 ,       7.86
65536 ,      1 ,       2.09
65536 ,      4 ,       6.91
65536 ,     16 ,      19.05
65536 ,     64 ,      21.68
65536 ,    256 ,      11.81
262144 ,      1 ,       2.13
262144 ,      4 ,       7.14
262144 ,     16 ,      20.19
262144 ,     64 ,      23.53
262144 ,    256 ,      12.71
1048576 ,      1 ,       2.18
1048576 ,      4 ,       7.18
1048576 ,     16 ,      23.50
1048576 ,     64 ,      28.46
1048576 ,    256 ,      15.56
4194304 ,      1 ,       1.97
4194304 ,      4 ,       7.22
4194304 ,     16 ,      23.54
4194304 ,     64 ,      28.43
4194304 ,    256 ,      15.60
16777216 ,      1 ,       1.91
16777216 ,      4 ,       7.15
16777216 ,     16 ,      23.40
16777216 ,     64 ,      28.06
16777216 ,    256 ,      15.62
